,000905.XSHG,open,close,high,low,volume,money,ACCER,ADTM,MAADTM,MTR,ATR,BIAS,CCI,CYE,DKX,KBJ,CYE,MFI,MTM,EMV,ROC,RSI,RSI10,RSI6,OSC,UDL,UDL,WR,MAWR,CHO,MACHO,DIF,DIFMA,CR,MASS,MAMASS,AMO,AMO1,AMO2,BR,AR
2016-01-05,0.0,6663.726,6889.741,7020.541,6627.642,11342822500.0,156717298586.0,-0.03377394012343843,0.10338641894525744,0.19536678934282914,392.89900000000034,180.78307142857147,-7.124714359566648,-285.1737285782221,-1.896922130737816,7550.237934920635,25.995501363477324,-1.896922130737816,52.676765733139334,-608.4399999999996,-2.980808680161043,-10.71123186067422,16.191878702123606,50.794662311740325,37.66157642160027,-64909.919999999875,7413.043383333332,7613.639702083333,79.09317809633127,78.33871079713187,606545.9210612755,1002351.5215609348,63.85048000000097,186.9241380000004,61.32840732226646,24.405686132507743,23.75611563964901,15671729.8586,13287488.96328,14677378.421470001,53.96264803100556,78.03972142191776
2016-01-06,1.0,6916.532,7065.607,7066.085,6878.654,10093042700.0,136351475197.0,-0.02942178923905622,0.2637094839629144,0.2204359239247682,187.43099999999959,188.70899999999997,-3.589189599279294,-158.91526606791763,-1.649532766370924,7499.149465079364,26.96996130886639,-1.649532766370924,52.95960968789648,-463.7960000000003,-2.8480196040236407,-8.231361786743586,30.910499417359272,47.50048028934651,35.85969855711334,-45630.64499999982,7312.590787499998,7551.441839583331,65.06489435274354,61.4349969268809,323638.104186398,859862.5957874403,-11.933039999999892,170.9161100000003,81.04851677275273,24.740818926863408,23.97780605575763,13635147.5197,13597039.66688,14282624.32251,63.77051309419478,92.23786627568506
2016-01-07,0.0,6937.416,6462.243,6937.416,6454.973,2842674200.0,34781544777.0,-0.03448785506827894,0.20811182018924815,0.23105858636490467,610.634,218.96335714285715,-9.322493165356919,-176.5893717530343,-3.5231198368327736,7412.839277777777,20.602533858743925,-3.5231198368327736,47.18280899880673,-1254.0029999999997,-5.13502254537252,-17.029082639623937,17.939557919493716,43.73802711761541,30.533296158525804,-101406.88999999975,7161.044116666666,7465.3827604166645,99.47420075984135,99.44432682143474,58366.38448846573,681414.0489925958,-131.30399999999918,141.0784700000003,61.12898332562218,25.15512942412082,24.254878707672933,3478154.4777,11504525.27868,12761395.0615,49.29459141485401,72.75083757094285
2016-01-08,1.0,6618.081,6570.432,6689.141,6222.593,11112960500.0,138934000171.0,-0.019077010461412473,-0.051258792106724356,0.21485704683979295,466.5479999999998,245.43421428571426,-5.209353331770765,-147.81929373448617,-2.990566407349858,7323.194796031745,19.24442742874433,-2.990566407349858,38.86397708704827,-1128.938,-5.603994616443424,-16.370627120507987,24.735370115472737,40.59739666226049,25.2001818042491,-86689.09999999987,7042.759833333332,7359.0075138888815,78.46247485351729,77.42335803850581,-181321.32155498536,456539.33653249056,-238.79363999999896,98.11119600000038,57.07889045456304,25.63407975527616,24.604706807397775,13893400.0171,11637466.96558,12737422.931020001,56.334664824900315,70.07184739206404
2016-01-11,0.0,6435.894,6128.656,6529.879,6128.223,11560073600.0,133119641104.0,-0.03291659704835767,-0.24053206781866862,0.19507819481442348,442.20899999999983,269.44992857142853,-8.29960127513954,-142.94644701774862,-2.5160791744191364,7208.606480952381,14.100413393066582,-2.5160791744191364,30.175062693963795,-1659.9080000000004,-5.8119980587569415,-21.157431165184647,17.595276931338482,36.64194879192609,20.87587693883285,-125056.46999999981,6865.8309083333315,7224.385373611108,99.97466957839765,99.9710537891459,-629991.8669574829,168978.45191916157,-386.0141399999984,36.896780000000675,48.07830487493364,26.07320009209313,25.007303755044713,13311964.1104,11998079.1967,12780548.497920003,45.0645857616461,61.18330754195136
2016-01-12,1.0,6126.67,6136.663,6205.591,5994.636,9190522000.0,105727199662.0,-0.03571118374921354,-0.2770859256749265,0.10837768267829426,210.95499999999993,277.07164285714276,-6.199125669350685,-132.99705735557365,-2.274014251247839,7087.623596031747,11.296857847079556,-2.274014251247839,21.713479332467962,-1719.9450000000006,-6.0644086775771,-20.84826887837632,18.10940161037301,34.03401396595349,20.913664919016085,-117733.93499999984,6748.073304166665,7090.557055555554,91.96979634299419,86.74439940678472,-821796.5904243565,-107426.56153344766,-516.6885599999996,-37.89640999999919,42.163157745600905,26.4431416780845,25.408676001490985,10572719.9662,10978277.21822,12132883.09075,45.99721643061164,60.367115191139
2016-01-13,0.0,6168.987,5924.044,6226.541,5924.044,8612340200.0,98456702875.0,-0.025492163798918315,-0.2803381105350161,-0.015562454957125105,302.4970000000003,289.7523571428571,-7.16518605414361,-119.55889132832087,-3.5273052587689513,6962.940623809523,7.7717547770858815,-3.5273052587689513,22.708111310938857,-1849.2390000000005,-6.10827439495081,-23.973951133221185,15.10619657050419,30.737106770715563,20.732714270556098,-131125.14999999976,6573.694174999999,6950.665520833332,100.0,100.0,-1181550.276770373,-405442.5945053895,-671.8017799999989,-128.93836599999923,42.284527597635716,26.774534945893784,25.80348413705532,9845670.2875,10220381.771780001,11908710.719329998,43.86844994536119,56.3495299764069
2016-01-14,1.0,5734.608,6124.82,6137.507,5726.883,9225144600.0,104255125841.0,-0.017891725797656265,-0.25587866602703446,-0.06623572988311875,410.6239999999998,308.85749999999996,-1.6010396376584368,-104.78733651052815,-1.0807206115116617,6842.586012698413,10.19123155395387,-1.0807206115116617,23.11113287362632,-1628.2170000000006,-6.210541407167962,-19.445887154378184,28.535727209545048,27.943667188399964,20.336922592775554,-104024.63499999985,6498.540395833332,6814.990455555552,80.45892458946197,67.12712499370113,-1435991.9999465058,-698714.2785275403,-810.5611199999985,-233.91607999999914,41.39210443417334,27.101585310575768,26.196945201007377,10425512.5841,11609853.39306,11557189.335870001,49.44640359599137,71.32260945900438
2016-01-15,0.0,6078.615,5893.682,6135.271,5852.241,8863053900.0,102277307351.0,-0.0081747030124802,-0.04837894500393288,-0.08520640037676755,283.02999999999975,324.3463571428571,-3.8506540963547295,-94.79597524387991,-2.1912204507001363,6726.885555555555,11.36206900071036,-2.1912204507001363,15.995797297734912,-1898.442,-6.182688749881456,-23.203231319552774,23.418016328545015,25.5752773115966,21.24999667875738,-118025.61499999974,6378.572254166665,6684.578478472214,91.20823226429435,82.66587547206674,-1627227.415045056,-979646.5784497913,-955.3064399999976,-351.07597399999895,46.5005920052146,27.42503702277685,26.57526313411672,10227730.7351,10876719.53666,11257093.251120001,46.71774708802274,67.42584878472002
2016-01-18,1.0,5768.7577,5978.9076,6051.1817,5765.1458,7246978900.0,86980313690.0,-0.005784882843816017,-0.1810857630823476,-0.1408058062574253,286.03589999999986,328.04399285714277,-0.8658605824383696,-86.6698340955128,-0.49572652684987367,6615.135348412698,13.51901289359793,-0.49572652684987367,16.809449507092403,-1624.4534000000003,-6.215152251311382,-22.763579655310195,29.048291504011885,25.709957995090228,21.96881681793852,-100900.74299999987,6329.038610833331,6565.624941388884,81.18098688622032,68.61446383294566,-1432334.900893032,-1188148.8416728007,-1026.3972919999978,-468.4949531999988,44.627385632888625,27.805401535327135,26.937150097458538,8698031.369,9953932.98838,10976006.09254,48.00027531838075,74.62946680638198
